Draw Date,1,2,3,4,5,Mega Ball,Megaplier
"Tue, Jan 27, 2015",44,5,57,27,26,7,3X
"Fri, Jan 23, 2015",68,72,15,32,14,8,2X
"Tue, Jan 20, 2015",63,56,35,31,59,6,5X
"Fri, Jan 16, 2015",26,32,44,58,45,11,3X
"Tue, Jan 13, 2015",20,50,12,51,25,7,5X
"Fri, Jan 09, 2015",37,56,50,49,57,8,5X
"Tue, Jan 06, 2015",20,12,27,38,75,4,3X
"Fri, Jan 02, 2015",35,15,62,74,13,12,4X
"Tue, Dec 30, 2014",63,3,67,44,7,12,4X
"Fri, Dec 26, 2014",2,5,10,20,38,14,3X
"Tue, Dec 23, 2014",31,56,66,10,4,7,3X
"Fri, Dec 19, 2014",59,58,14,68,18,4,3X
"Tue, Dec 16, 2014",68,58,41,72,73,1,5X
"Fri, Dec 12, 2014",58,46,65,31,2,7,5X
"Tue, Dec 09, 2014",45,52,49,27,51,14,5X
"Fri, Dec 05, 2014",59,5,11,51,4,5,5X
"Tue, Dec 02, 2014",49,18,13,22,62,11,5X
"Fri, Nov 28, 2014",47,26,29,8,36,10,3X
"Tue, Nov 25, 2014",29,10,47,11,56,4,2X
"Fri, Nov 21, 2014",37,63,3,12,35,15,2X
"Tue, Nov 18, 2014",53,68,39,37,75,6,2X
"Fri, Nov 14, 2014",68,62,49,3,61,15,5X
"Tue, Nov 11, 2014",28,75,23,30,25,11,5X
"Fri, Nov 07, 2014",66,35,31,41,65,5,5X
"Tue, Nov 04, 2014",15,24,41,9,39,1,4X
"Fri, Oct 31, 2014",67,11,58,36,29,15,2X
"Tue, Oct 28, 2014",3,57,60,50,58,11,5X
"Fri, Oct 24, 2014",2,55,21,28,14,3,3X
"Tue, Oct 21, 2014",41,5,35,66,37,11,5X
"Fri, Oct 17, 2014",60,31,43,56,21,12,4X
"Tue, Oct 14, 2014",46,37,64,11,68,15,3X
"Fri, Oct 10, 2014",32,59,35,2,50,3,5X
"Tue, Oct 07, 2014",46,55,29,48,16,2,3X
"Fri, Oct 03, 2014",20,58,3,34,67,6,3X
"Tue, Sep 30, 2014",61,52,54,16,3,6,5X
"Fri, Sep 26, 2014",26,35,62,17,46,9,5X
"Tue, Sep 23, 2014",43,21,24,40,25,12,5X
"Fri, Sep 19, 2014",16,34,25,29,27,2,2X
"Tue, Sep 16, 2014",73,51,53,25,45,2,2X
"Fri, Sep 12, 2014",36,18,28,33,42,7,3X
"Tue, Sep 09, 2014",70,55,25,34,71,1,4X
"Fri, Sep 05, 2014",12,24,7,20,59,7,2X
"Tue, Sep 02, 2014",72,69,8,1,54,1,3X
"Fri, Aug 29, 2014",58,73,26,3,45,12,2X
"Tue, Aug 26, 2014",31,64,60,29,51,1,5X
"Fri, Aug 22, 2014",31,34,5,74,41,3,5X
"Tue, Aug 19, 2014",71,22,67,39,56,15,4X
